network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
w200_data_s2,data,2,200,4,True,test,5,1481,5303.519466057651,179229.06757899045,1.6152955533478008,7783.540000000001
w200_data_s2,data,2,200,4,True,test,6,853,6143.180536672276,114464.93622630698,1.7565278109914484,8330.801
w200_physics_s0,physics,0,200,4,True,val,0,4551,191.65034989416796,4025.602422739752,0.10247744345546345,55.0
w200_physics_s0,physics,0,200,4,True,val,1,4551,570.6336904634064,10980.826307992429,0.3137075252667293,373.71799999999996
w200_physics_s0,physics,0,200,4,True,val,2,4551,1065.9534911751152,27441.96739861661,0.537317030317716,821.8929999999991
w200_physics_s0,physics,0,200,4,True,val,3,4551,1917.8469015022301,37730.29312536141,0.9288661544890608,2099.987
w200_physics_s0,physics,0,200,4,True,val,4,2932,4319.101498952034,85288.21506107372,1.47175431244162,6281.1775
w200_physics_s0,physics,0,200,4,True,val,5,1524,9284.991592675568,166298.13760605096,2.3256640355281686,7759.312
w200_physics_s0,physics,0,200,4,True,val,6,856,9977.58505881393,157864.6578640579,2.400624817899701,8181.928
w200_physics_s0,physics,0,200,4,True,test,0,4563,191.42627873176997,4257.5862205790745,0.10048754334180537,69.21399999999994
w200_physics_s0,physics,0,200,4,True,test,1,4563,547.320202403057,10387.58914962031,0.30936645106163785,335.087
w200_physics_s0,physics,0,200,4,True,test,2,4563,1071.7455704975728,27984.20697379208,0.5246171430381696,752.393
w200_physics_s0,physics,0,200,4,True,test,3,4563,1806.349467049074,38692.083869607915,0.8429907897813671,1994.9869999999999
w200_physics_s0,physics,0,200,4,True,test,4,2914,4077.7415598837197,83382.05444132732,1.4215446673424768,6269.4015
w200_physics_s0,physics,0,200,4,True,test,5,1481,7761.78316948878,227476.7029252912,2.1958086849579694,7783.540000000001
w200_physics_s0,physics,0,200,4,True,test,6,853,9065.567872035217,176623.28441771923,2.317113800900994,8330.801
w200_physics_s1,physics,1,200,4,True,val,0,4551,198.70712999953244,3676.191903698118,0.09461830612246883,55.0
w200_physics_s1,physics,1,200,4,True,val,1,4551,633.0570210817594,12217.85697418531,0.3525584785609437,373.71799999999996
w200_physics_s1,physics,1,200,4,True,val,2,4551,1180.4383885739185,42316.99784563409,0.5934174458758906,821.8929999999991
w200_physics_s1,physics,1,200,4,True,val,3,4551,2042.9496147331752,55013.71020650385,1.0712146624707597,2099.987
w200_physics_s1,physics,1,200,4,True,val,4,2932,5236.644902402986,80293.5573713548,2.0385641338455662,6281.1775
w200_physics_s1,physics,1,200,4,True,val,5,1524,14020.019062053336,119312.89456884433,3.5173204205352917,7759.312
w200_physics_s1,physics,1,200,4,True,val,6,856,19416.645511147777,124923.58489733108,3.716187216614382,8181.928
w200_physics_s1,physics,1,200,4,True,test,0,4563,197.14360719259005,3332.329078333872,0.09505393262794481,69.21399999999994
w200_physics_s1,physics,1,200,4,True,test,1,4563,624.7237270539686,11140.207020680806,0.3506891897279568,335.087
w200_physics_s1,physics,1,200,4,True,test,2,4563,1145.5884668078652,42693.92095875101,0.5605201980569824,752.393
w200_physics_s1,physics,1,200,4,True,test,3,4563,1991.8201748045944,53331.03698219086,1.0610079223422486,1994.9869999999999
w200_physics_s1,physics,1,200,4,True,test,4,2914,5123.805096515924,83606.64469648823,1.9825794440163895,6269.4015
w200_physics_s1,physics,1,200,4,True,test,5,1481,16222.414047964208,137802.27257327852,3.428943962751771,7783.540000000001
w200_physics_s1,physics,1,200,4,True,test,6,853,18395.496103855352,125963.344816976,3.4948182775296766,8330.801
w200_physics_s2,physics,2,200,4,True,val,0,4551,140.72313095662457,3892.002404860989,0.12733974977920115,55.0
w200_physics_s2,physics,2,200,4,True,val,1,4551,514.6928692827366,9719.287235734782,0.40225640365913057,373.71799999999996
w200_physics_s2,physics,2,200,4,True,val,2,4551,1073.5788869934063,25635.776394272965,0.6613033505485921,821.8929999999991
w200_physics_s2,physics,2,200,4,True,val,3,4551,1761.1572823994807,36541.96133504407,1.0340018735141427,2099.987
