arch,mode,q,stratum,forward_um,backward_um,backward_over_forward
2x256,data,20,5-20 mm,0.0073841612788783095,0.0071076476118037135,0.9625531381789375
2x256,data,20,50-200 mm,1.6546078965831157,1.3666492760791016,0.8259656435227528
2x256,data,20,500-2000 mm,270.924808511225,276.1529027178682,1.0192972147341264
2x256,data,20,full crossing,1651.2953834101722,2232.4232911206327,1.3519224443723352
2x32,physics,2,0.05-0.2 mm,3.029538220289396e-05,2.8381350603012834e-05,0.936821011629347
2x32,physics,2,0.5-2 mm,0.002906620849785213,0.003147632412492385,1.082918129044929
2x32,physics,2,5-20 mm,0.31450164807012015,0.30405169044200875,0.9667729638549254
2x32,physics,2,50-200 mm,36.35175138295999,31.893411828278317,0.8773555775149933
2x32,physics,2,500-2000 mm,478.98569691389525,618.1363483526136,1.290511078588079
2x32,physics,2,full crossing,5658.36746569974,25501.575319374817,4.506878613657018
2x32,physics,4,0.05-0.2 mm,1.4619672583648935e-05,1.452508513466455e-05,0.9935301253538212
2x32,physics,4,0.5-2 mm,0.001394047501435125,0.0014542353810043096,1.0431749129833978
2x32,physics,4,5-20 mm,0.1403066450791357,0.13300779241376404,0.9479792802311325
2x32,physics,4,50-200 mm,13.512894738713754,18.283209777254285,1.3530194773791748
2x32,physics,4,500-2000 mm,485.95120277721327,547.7525826986209,1.1271761023909654
2x32,physics,4,full crossing,5129.474242320612,2771.971596643425,0.5404007244589194
2x32,physics,6,0.05-0.2 mm,1.4025488326296909e-05,1.4589318197977263e-05,1.0402003736742063
2x32,physics,6,0.5-2 mm,0.0014163213859497148,0.0013899100821390675,0.9813521817345594
2x32,physics,6,5-20 mm,0.14061087080108337,0.1651472923853703,1.1744987527955617
2x32,physics,6,50-200 mm,14.918693316026577,29.762791549551082,1.9949998916847538
2x32,physics,6,500-2000 mm,539.6466498649204,722.5393433544838,1.3389119408697219
2x32,physics,6,full crossing,1654.5777229528085,1519.216114638194,0.918189634468761
2x32,physics,8,0.05-0.2 mm,1.1446154246641527e-05,1.0890204293900752e-05,0.9514291052906352
2x32,physics,8,0.5-2 mm,0.001227176866791524,0.0011519112419478006,0.9386676632517473
2x32,physics,8,5-20 mm,0.1263277976875088,0.10973639562550375,0.8686638858135846
2x32,physics,8,50-200 mm,15.867962520985657,10.024014029710315,0.6317139970839597
2x32,physics,8,500-2000 mm,580.9605767601456,646.3192035896075,1.1125009672669162
2x32,physics,8,full crossing,1449.2032644114374,1345.3807521532042,0.9283589025723051
2x32,physics,10,0.05-0.2 mm,8.981601240520831e-06,9.829136615735479e-06,1.0943635051833476
2x32,physics,10,0.5-2 mm,0.0010200372031476945,0.000987682721387273,0.9682810767483969
2x32,physics,10,5-20 mm,0.09283793892223002,0.1066709131407606,1.1490013067838398
2x32,physics,10,50-200 mm,8.16007073329672,14.762667288212405,1.8091347208516406
2x32,physics,10,500-2000 mm,600.8198195040854,679.7416110641379,1.131356837770755
2x32,physics,10,full crossing,1553.522149381564,1396.5518503816697,0.8989584415887588
2x32,physics,12,0.05-0.2 mm,5.9132645446879906e-06,5.6210325283245766e-06,0.9505802566154541
2x32,physics,12,0.5-2 mm,0.0005968858403093691,0.0005631515307413792,0.9434828114694341
2x32,physics,12,5-20 mm,0.07307541571321963,0.05008144800910941,0.6853392145677453
2x32,physics,12,50-200 mm,9.22426611810323,6.574852387743135,0.7127778300801138
2x32,physics,12,500-2000 mm,468.78782173848066,529.6771624915207,1.1298867801796437
2x32,physics,12,full crossing,1685.6439169508733,1458.049961241386,0.8649810001858652
2x32,physics,14,0.05-0.2 mm,9.214602414431283e-06,8.770697945692518e-06,0.9518259769902224
2x32,physics,14,0.5-2 mm,0.0009002264569346607,0.0008668392865729402,0.9629124759614304
2x32,physics,14,5-20 mm,0.09841581491798479,0.09004775384369168,0.9149723946169966
2x32,physics,14,50-200 mm,11.549218837814124,10.719778223119647,0.9281821025004093
2x32,physics,14,500-2000 mm,669.6623350274162,629.5028411441592,0.9400302334733924
2x32,physics,14,full crossing,1556.1809249834369,1245.3008464014843,0.8002288335559302
2x32,physics,16,0.05-0.2 mm,6.803874796901255e-06,6.730516588504543e-06,0.9892181719113758
2x32,physics,16,0.5-2 mm,0.0007296977386772596,0.000754988571216586,1.0346593270045918
2x32,physics,16,5-20 mm,0.07641994169915733,0.06808130221713782,0.8908839852973682
