arm,tag,mode,seed,width,depth,leg,node,node_c,is_endpoint,med_um,p95_um,n
residual,residual_w50_physics_s8,physics,8,50,4,A,0,0.019855071751231912,False,0.01556120364348823,298.7539154466247,604
residual,residual_w50_physics_s8,physics,8,50,4,A,1,0.10166676129318664,False,0.11875589830739885,958.4919741461724,604
residual,residual_w50_physics_s8,physics,8,50,4,A,2,0.2372337950418355,False,0.6150982610140243,3008.2505328099323,604
residual,residual_w50_physics_s8,physics,8,50,4,A,3,0.4082826787521751,False,1.4384729163042786,7699.853610818766,604
residual,residual_w50_physics_s8,physics,8,50,4,A,4,0.5917173212478248,False,2.5557058944545297,13276.982618666181,604
residual,residual_w50_physics_s8,physics,8,50,4,A,5,0.7627662049581645,False,3.4755901210150597,16105.71949246919,604
residual,residual_w50_physics_s8,physics,8,50,4,A,6,0.8983332387068134,False,4.374617646820234,20144.658550638553,604
residual,residual_w50_physics_s8,physics,8,50,4,A,7,0.9801449282487681,False,5.2841462161581365,24543.008279562353,604
residual,residual_w50_physics_s8,physics,8,50,4,A,8,1.0,True,5.511623767902041,25946.621055747793,604
residual,residual_w50_physics_s8,physics,8,50,4,B,0,0.019855071751231912,False,64.69890306137316,424.94486498134177,564
residual,residual_w50_physics_s8,physics,8,50,4,B,1,0.10166676129318664,False,97.81232406305662,701.6459205196302,564
residual,residual_w50_physics_s8,physics,8,50,4,B,2,0.2372337950418355,False,343.3502409424403,2136.169220610564,564
residual,residual_w50_physics_s8,physics,8,50,4,B,3,0.4082826787521751,False,710.9531641657227,4528.9478242326995,564
